COD. ÚNICO,VIGENCIA,AÑO,AÑO PRESP.,BIP,DV,NOMBRE INICIATIVA,REVISIÓN O REEVALUACIÓN,TIPO,PROVINCIA,COMUNA,ETAPA,TIPOLOGÍA,SUBTIPOLOGÍAS,Categoría GORE,SUBT,ITEM,ASIG,FORMULADOR,ORIGEN,UNIDAD TÉCNICA,ALCANCE INICIATIVA,DIVISIÓN VINCULADA,CARTERA REZAGO,BENEFICIARIO,SECTOR,SUBSECTOR,MONTO INICIATIVA,MONTO SECTORIAL,MONTO FNDR,MONTO FINAL APROB.,GASTO VIGENTE,GASTO SIG. AÑOS,ESTADO ACTUAL,FECHA ESTADO ACTUAL,RATE ACTUAL,FECHA ULTIMO RATE,N° RATES EMITIDOS,DIAS PARA RESPUESTA,N° ORD. POSTULACIÓN,FECHA ORD. POSTULACIÓN,FECHA RECEPC. GORE,ANALISTA,FECHA ASIGN. ANALISTA,N° ORD.  A MIDESO,FECHA ENVÍO A MIDESO,N° ORD. CORE,FECHA ENVÍO ORD. A CORE,N° CERTIF. RS,FECHA CERTIF. RS,N° CERT.CORE O RES. EXTA INCORP,FECHA CERTIF. APROBADO CORE,"N° MEMO PRESUPESTO
RES. APRUEBA CONV","FECHA ENVÍO A PRESUPUESTO
FECHA CONVENIO",OBSERVACIONES GENERALES,EJE,LINEAMIENTO,OBJETIVO,ACCION,N° EMPLEOS EST. HOMBRE,N° EMPLEOS EST. MUJER,N° EMPLEOS ESTIMADOS,N° BENEF DIRECT HOM,N° BENEF DIRECTOS MUJ,N° BENEF DIRECTOS TOTAL,CONTROL DE DIAS,CONTROL RESPUESTA OBSERVACIONES,N° DIAS RETRASO,RESPONDE OBSERVACIONES,FECHA RESPUESTA INGRESO PRE INVERSIÓN,N° DÍAS A LA ESPERA DE REVISIÓN,PRIORIZADO GOBERNADOR,,,,,,
40059039-2023,VIGENTE,2023,2023,40059039,0,"ADQUISICION DE 2 MINIBUSES PARA EL TRASLADO DE PERSONAS CON MOVILIDAD
REDUCIDA, COMUNA DE COELEMU
",REVISIÓN,PROYECTO,ITATA,COELEMU,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,VEHÍCULOS Y MAQUINARIAS,,,,MUNICIP. COELEMU,MUNICIPIO,MUNICIP. COELEMU,COMUNAL,,,COELEMU,MULTISECTORIAL,"INTERSUBSECTORIAL
MULTISECTOR","M$124,307",M$0,"M$124,307",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,09-11-2023,SIN RATE,09-11-2023,,,873,06-11-2023,09-11-2023,,,,,,,,,,,,,,,,,,,,,7873,8122,15995,,,,,,,,,,,,,
40057780-2023,VIGENTE,2023,2023,40057780,0,TRANSFERENCIA CIUDADANÍA Y MOVILIDAD ACTIVA PARA VIVIR MEJOR EN ÑUBLE,REVISIÓN,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIAS,TRANSFERENCIA,TRANSPORTE,,,,GORE-DIT,SECTORIAL / OTRO,GORE-DIT,REGIONAL,,,REGIONAL,TRANSPORTE,TRANSPORTE URBANO Y VIALIDAD PEATONAL,"M$235,904",M$0,"M$235,904",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,10-11-2023,SIN RATE,10-11-2023,,,,17-08-2023,10-11-2023,Patricio Torres,21-11-2023,,,,,,,,,,,,,,,,,,,4023,4290,8313,,,,,,,,,,,,,
40057478-2023,VIGENTE,2023,2023,40057478,0,TRANSFERENCIA RENUEVA TU BICI REGIÓN DE ÑUBLE,REVISIÓN,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIAS,TRANSFERENCIA,TRANSPORTE,,,,GORE-DIT,SECTORIAL / OTRO,GORE-DIT,REGIONAL,,,REGIONAL,TRANSPORTE,TRANSPORTE URBANO Y VIALIDAD PEATONAL,"M$64,018",M$0,"M$64,018",M$0,M$0,M$0,INADMISIBLE,07-12-2023,INADMISIBLE,07-12-2023,,,,10-11-2023,10-11-2023,Patricio Torres,21-11-2023,,,,,,,,,,,,,,,,,,,200,200,400,,,,,,,,,,,,,
40058614-2023,VIGENTE,2023,2023,40058614,0,TRANSFERENCIA CIRCUITO DE FAMILIA DE ACOGIDAS DE ÑUBLE,REVISIÓN,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIAS,TRANSFERENCIA,MULTISECTORIAL *,33,3,,MEJOR NIÑEZ,SECTORIAL / OTRO,MEJOR NIÑEZ,REGIONAL,,,REGIONAL,MULTISECTORIAL,MULTISECTORIAL ASISTENCIA Y SERVICIOS SOCIALES,"M$737,780",M$0,"M$737,780",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,13-11-2023,SIN RATE,13-11-2023,,,662,08-11-2023,13-11-2023,,,,,,,,,,,,,,,,,,,,,35,40,75,,,,,,,,,,,,,
40058617-2023,VIGENTE,2023,2023,40058617,0,TRANSFERENCIA PROGRAMA DE REPARACIÓN DEL MALTRATO SERVICIO DE PROTECCIÓN ESPECIALIZADA,REVISIÓN,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIAS,TRANSFERENCIA,MULTISECTORIAL *,,,,,SECTORIAL / OTRO,,REGIONAL,,,REGIONAL,MULTISECTORIAL,MULTISECTORIAL ASISTENCIA Y SERVICIOS SOCIALES,"M$983,379",M$0,"M$983,379",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,13-11-2023,SIN RATE,13-11-2023,,,662,08-11-2023,13-11-2023,,,,,,,,,,,,,,,,,,,,,125,125,250,,,,,,,,,,,,,
40059056-2023,VIGENTE,2023,2023,40059056,0,ADQUISICION VEHÍCULOS PARA PREVENCIÓN Y COMBATE REGIÓN DE ÑUBLE,REVISIÓN,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,MULTISECTORIAL *,,,,CONAF,SECTORIAL / OTRO,CONAF,REGIONAL,,,REGIONAL,MULTISECTORIAL,"INTERSUBSECTORIAL
MULTISECTOR","M$214,061",M$0,"M$214,061",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,13-11-2023,SIN RATE,13-11-2023,,,239,08-11-2023,13-11-2023,Juan Pablo Lopez,23-11-2023,,,,,,,,,,,,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.5 FORTALECER LA PREVENCIÓN CAPACIDAD DE REACCIÓN Y PLANES DE MITIGACIÓN FRENTE A RIESGOS Y DESASTRES NATURALES,1.1.5.3 Incorporar la gestión de riesgo de desastres en los gobiernos locales.,,,,232587,248022,480609,,,,,,,,,,,,,
40059053-2023,VIGENTE,2023,2023,40059053,0,"TRANSFERENCIA GESTORES DE LA PREVENCIÓN ANTE INCENDIOS FORESTALES DE LA REGIÓN DE ÑUBLE
",REVISIÓN,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIAS,TRANSFERENCIA,,,,,CONAF,SECTORIAL / OTRO,CONAF,REGIONAL,,,REGIONAL,MULTISECTORIAL,ADMINISTRACIÓN MULTISECTORIAL,"M$980,000",M$0,"M$980,000",M$0,M$0,M$0,APROBADO TÉCNICAMENTE,29-12-2023,RS,29-12-2023,,,240,08-11-2023,13-11-2023,Patricio Torres,23-11-2023,,,,,570,29-12-2023,,,,,RS,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.5 FORTALECER LA PREVENCIÓN CAPACIDAD DE REACCIÓN Y PLANES DE MITIGACIÓN FRENTE A RIESGOS Y DESASTRES NATURALES,1.1.5.3 Incorporar la gestión de riesgo de desastres en los gobiernos locales.,,,,232587,248022,480609,,,,,,,,,,,,,
40059014-2023,VIGENTE,2023,2023,40059014,0,TRANSFERENCIA FORTALECIMIENTO RED DE SERVICIOS DE INFORMACIÓN AL TURISTA REGION DE ÑUBLE,REVISIÓN,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIAS,TRANSFERENCIA,,,,,SERNATUR,SECTORIAL / OTRO,SERNATUR,REGIONAL,,,REGIONAL,TURISMO Y COMERCIO,TURISMO,"M$319,600",M$0,"M$319,600",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,13-11-2023,SIN RATE,13-11-2023,,,144,08-11-2023,13-11-2023,,,,,,,,,,,,,,2. ECONOMÍA Y CAPITAL HUMANO,2.2 AUMENTAR EL DINAMISMO DE LA ECONOMÍA PROMOVIENDO LA DIVERSIFICACIÓN Y LA SUSTENTABILIDAD DE LA PRODUCCIÓN,2.2.3 INCREMENTAR LA ACTIVIDAD TURÍSTICA REGIONAL CON ÉNFASIS EN TURISMO RURAL CULTURAL Y DE INTERESES ESPECIALES,,,,,517,440,957,,,,,,,,,,,,,
40041509-2023,VIGENTE,2023,2023,40041509,0,"CONSTRUCCION SEDE VILLA LAS VIOLETAS, CHILLAN VIEJO-RE",REEVALUACIÓN,PROYECTO,DIGUILLÍN,CHILLÁN VIEJO,EJECUCIÓN,FRIL,FRIL - EDIFICACIÓN PÚBLICA COMUNITARIA,SOCIAL,33,3,125,MUNICIP. CHILLÁN VIEJO,MUNICIPIO,MUNICIP. CHILLÁN VIEJO,COMUNAL,,,CHILLÁN VIEJO,MULTISECTORIAL,MULTISECTORIAL ASISTENCIA Y SERVICIOS SOCIALES,"M$79,825",M$0,"M$79,825",M$0,M$0,M$0,APROBADO TÉCNICAMENTE,07-12-2023,RS,07-12-2023,,,765,09-11-2023,13-11-2023,Maria Jose Gutierrez,,,,,,532,07-12-2023, , ,,,RS,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.1 MEJORAR LA INFRAESTRUCTURA PÚBLICA Y DE CONECTIVIDAD TERRITORIAL REGIONAL,1.1.1.5 Construir o habilitar espacios públicos y/o infraestructura pública diseñados y equipados de acuerdo a la jerarquía de cada centro urbano con pertinencia identitaria resguardando el aporte estético de las intervenciones públicas al desarrollo de los centros poblados.,,,,624,746,1370,,,,,,,,,,,,,
40059004-2023,VIGENTE,2023,2023,40059004,0,"TRANSFERENCIA PROTECCIÓN INTEGRAL PARA PERSONAS MAYORES DE LA REGIÓN DE ÑUBLE
",REVISIÓN,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIAS,TRANSFERENCIA,,,,,,SECTORIAL / OTRO,,REGIONAL,,,REGIONAL,MULTISECTORIAL,MULTISECTORIAL ASISTENCIA Y SERVICIOS SOCIALES,"M$343,384",M$0,"M$343,384",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,13-11-2023,SIN RATE,13-11-2023,,,82,07-11-2023,13-11-2023,,,,,,,,,,,,,,,,,,,,,38,142,180,,,,,,,,,,,,,
40059005-2023,VIGENTE,2023,2023,40059005,0,"PROTECCION CENTRO INTEGRAL DE ATENCION PARA LA MUJER, CHILLÁN VIEJO",REVISIÓN,PROGRAMA,DIGUILLÍN,CHILLÁN VIEJO,EJECUCIÓN,GLOSAS COMUNES,GLOSAS COMUNES - GLOSA 5.1,SOCIAL,33,3,,MUNICIP. CHILLÁN VIEJO,MUNICIPIO,MUNICIP. CHILLÁN VIEJO,COMUNAL,DIDESO,NO,CHILLÁN VIEJO,MULTISECTORIAL,MULTISECTORIAL ASISTENCIA Y SERVICIOS SOCIALES,"M$181,710",M$0,"M$181,710",M$0,M$0,M$0,APROBADO TÉCNICAMENTE,22-12-2023,RS,22-12-2023,1,,768,07-11-2023,13-11-2023,Patricio Torres,13-12-2023,,,,,555,22-12-2023,,,,,RS,,,,,,,,0,100,100,,,,,,,,,,,,,
40059046-2023,VIGENTE,2023,2023,40059046,0,TRANSFERENCIA PROGRAMA REGIONAL DE APOYO PROFESIONAL PARA PERSONAS CON DISCAPACIDAD,REVISIÓN,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIAS,TRANSFERENCIA,,,,,,SECTORIAL / OTRO,,REGIONAL,,,REGIONAL,EDUCACIÓN CULTURA Y PATRIMONIO,EDUCACIÓN DIFERENCIAL,"M$1,206,600",M$0,"M$1,206,600",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,14-11-2023,SIN RATE,14-11-2023,,,18,10-11-2023,14-11-2023,,,,,,,,,,,,,,,,,,,,,140,300,440,,,,,,,,,,,,,
40026156-2023,VIGENTE,2023,2023,40026156,0,CONSERVACIÓN DE HOSPITAL CLÍNICO HERMINDA MARTIN DE CHILLÁN,REEVALUACIÓN,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,,Infraestructura Pública,31,2,0,S.SALUD ÑUBLE,SECTORIAL / OTRO,S.SALUD ÑUBLE,REGIONAL,,,REGIONAL,SALUD,SALUD ALTA COMPLEJIDAD,"$1,015,821",$0,"$1,015,821",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,14-11-2023,SIN RATE,14-11-2023,,,1204,13-11-2023,14-11-2023,,,,, ,, , , ,,,, ,3. Desarrollo Social,3.1 Mejorar las condiciones regionales para un mayor bienestar de sus habitantes.,3.1.2 Fortalecer el acceso a la salud de calidad para todos los habitantes de la región.,3.1.2.4 Implementar estrategia integral de mejoramiento de la atención a los usuarios.,,, ,226090,227632,453722,,,,,,,,,,,,,
40034103-2023,VIGENTE,2023,2023,40034103,0,CONSTRUCCION PATIO TECHADO CORRALON MUNICIPAL COMUNA DE BULNES,REEVALUACIÓN,PROYECTO,DIGUILLÍN,BULNES,EJECUCIÓN,FRIL,FRIL - EDIFICACIÓN PÚBLICA FISCAL,INFRAESTRUCTURA PÚBLICA,33,3,125,MUNICIP. BULNES,MUNICIPIO,MUNICIP. BULNES,COMUNAL,,,BULNES,MULTISECTORIAL,ADMINISTRACIÓN MULTISECTORIAL,"M$85,000",M$0,"M$85,000",M$0,M$0,M$0,APROBADO TÉCNICAMENTE,29-12-2023,RS,29-12-2023,,,953/99/2023,11/6/2023,14/11/2023,Daniel Fuentes,10-01-2023,,,,,590,29-12-2023,123,19-03-2024,,,RS,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.1 MEJORAR LA INFRAESTRUCTURA PÚBLICA Y DE CONECTIVIDAD TERRITORIAL REGIONAL,1.1.1.5 Construir o habilitar espacios públicos y/o infraestructura pública diseñados y equipados de acuerdo a la jerarquía de cada centro urbano con pertinencia identitaria resguardando el aporte estético de las intervenciones públicas al desarrollo de los centros poblados.,,,,10382,11111,21493,,,,,,,,,,,,,
40048507-2023,VIGENTE,2023,2023,40048507,0,"TRANSFERENCIA TRANSFERENCIA PARA EL FOMENTO AL RIEGO, REGION DE ÑUBLE",REVISIÓN,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIAS,TRANSFERENCIA,RIEGO,33,3,,CNR,SECTORIAL / OTRO,CNR,REGIONAL,DIT,,REGIONAL,RECURSOS HIDRICOS,RIEGO,"M$5,600,000",M$0,"M$5,600,000",M$0,M$0,M$0,APROBADO TÉCNICAMENTE,27-12-2023,RS,27-12-2023,,,953,06-11-2023,15-11-2023,Patricio Torres,13-12-2023,,,,,562,27-12-2023,,,,,RS,,,,,,,,1200,800,2000,,,,,,,,,,,,,
40059166-2023,VIGENTE,2023,2023,40059166,0,"ADQUISICION DE VEHÍCULOS MUNICIPALES COMUNA DE TREHUACO
",REVISIÓN,PROYECTO,ITATA,TREHUACO,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,VEHÍCULOS Y MAQUINARIAS,29,,,MUNICIP. TREHUACO,MUNICIPIO,MUNICIP. TREHUACO,COMUNAL,,,TREHUACO,MULTISECTORIAL,"INTERSUBSECTORIAL
MULTISECTOR","M$111,258",M$0,"M$111,258",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,15-11-2023,SIN RATE,15-11-2023,,,462,14-11-2023,15-11-2023,,,,,,,,,,,,,,1. TERRITORIO Y MEDIO AMBIENTE,1.2 FORTALECER LA SUSTENTABILIDAD AMBIENTAL DE LA REGIÓN,1.2.3 MEJORAMIENTO DEL MEDIO AMBIENTE EN LOS ASENTAMIENTOS HUMANOS DE LA REGIÓN,1.2.3.4 Implementación de iniciativas que permitan mejorar la movilidad dentro de los centros urbanos.,,,,2727,2716,5443,,,,,,,,,,,,,
40058914-2023,VIGENTE,2023,2023,40058914,0,"REPOSICION 2 AMBULANCIAS AEB 4X2, COMUNA DE SAN IGNACIO
",REVISIÓN,PROYECTO,DIGUILLÍN,SAN IGNACIO,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,VEHÍCULOS Y MAQUINARIAS,29,,,MUNICIP. SAN IGNACIO,MUNICIPIO,MUNICIP. SAN IGNACIO,COMUNAL,,,SAN IGNACIO,SALUD,SALUD BAJA COMPLEJIDAD,"M$163,000",M$0,"M$163,000",M$0,M$0,M$0,APROBADO TÉCNICAMENTE,27-12-2023,RS,27-12-2023,,,416,07-11-2023,16-11-2023,Juan Pablo Lopez,20-12-2023,,,,,589,27-12-2023,,,,,,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.1 MEJORAR LA INFRAESTRUCTURA PÚBLICA Y DE CONECTIVIDAD TERRITORIAL REGIONAL,1.1.1.5 Construir o habilitar espacios públicos y/o infraestructura pública diseñados y equipados de acuerdo a la jerarquía de cada centro urbano con pertinencia identitaria resguardando el aporte estético de las intervenciones públicas al desarrollo de los centros poblados.,,,,1,1,2,,,,,,,,,,,,,
40059287-2023,VIGENTE,2023,2023,40059287,0,TRANSFERENCIA PROGRAMA INVERSIÓN A LA COMUNIDAD REGIÓN DE ÑUBLE AÑO 2024,REVISIÓN,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,TRANSFERENCIAS,TRANSFERENCIA,CAPACITACIÓN Y EMPLEO,,,,,SECTORIAL / OTRO,GORE-DIT,REGIONAL,DIT,,REGIONAL,MULTISECTORIAL,ADMINISTRACIÓN MULTISECTORIAL,"M$1,814,074",M$0,"M$1,814,074",M$0,M$0,M$0,SUBSANANDO OBSERVACIONES,22-11-2023,FI,18-12-2023,1,,679,22-12-2023,22-11-2023,Oscar Diaz Diaz,22-12-2023,,,,,,,,,,,,3. DESARROLLO SOCIAL,3.1 MEJORAR LAS CONDICIONES REGIONALES PARA UN MAYOR BIENESTAR DE SUS HABITANTES,3.1.1 REDUCIR LA VULNERABILIDAD DE LA POBLACIÓN REGIONAL,,,,,217,26,243,,,,,,,,,,,,,
40059040-2023,VIGENTE,2023,2023,40059040,0,ADQUISICION DE VEHÍCULOS PARA PREVENCIÓN Y COMBATE DE INCENDIOS FORESTALES PROVINCIALES,REVISIÓN,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,VEHÍCULOS Y MAQUINARIAS,29,,,CONAF,SECTORIAL / OTRO,CONAF,REGIONAL,DIT,,REGIONAL,MULTISECTORIAL,ADMINISTRACIÓN MULTISECTORIAL,"M$281,459",M$0,"M$281,459",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,22-11-2023,SIN RATE,22-11-2023,,,238,08-11-2023,22-11-2023,Juan Pablo Lopez,23-11-2023,,,,,,,,,,,,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.5 FORTALECER LA PREVENCIÓN CAPACIDAD DE REACCIÓN Y PLANES DE MITIGACIÓN FRENTE A RIESGOS Y DESASTRES NATURALES,1.1.5.3 Incorporar la gestión de riesgo de desastres en los gobiernos locales.,,,,232587,248022,480609,,,,,,,,,,,,,
40059030-2023,VIGENTE,2023,2023,40059030,0,"ADQUISICION DE EQUIPAMIENTO PARA LOGÍSTICA, COORDINACIÓN Y COMBATE, REGIÓN DE ÑUBLE",REVISIÓN,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,EQUIPAMIENTO,29,,,CONAF,SECTORIAL / OTRO,CONAF,REGIONAL,DIT,,REGIONAL,MULTISECTORIAL,ADMINISTRACIÓN MULTISECTORIAL,"M$216,000",M$0,"M$216,000",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,22-11-2023,SIN RATE,22-11-2023,,,237,08-11-2023,22-11-2023,Juan Pablo Lopez,23-11-2023,,,,,,,,,,,,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.5 FORTALECER LA PREVENCIÓN CAPACIDAD DE REACCIÓN Y PLANES DE MITIGACIÓN FRENTE A RIESGOS Y DESASTRES NATURALES,1.1.5.3 Incorporar la gestión de riesgo de desastres en los gobiernos locales.,,,,248022,265649,513671,,,,,,,,,,,,,
40058988-2023,VIGENTE,2023,2023,40058988,0," ADQUISICION CONTENEDORES BRIGADA PREVENCIÓN Y COMBATE DE INCENDIOS
FORESTALES, PROVINCIA DE DIGUILLÍN
",REVISIÓN,PROYECTO,DIGUILLÍN,DIGUILLÍN,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,EQUIPAMIENTO,29,,,CONAF,SECTORIAL / OTRO,CONAF,REGIONAL,DIT,,DIGUILLÍN,MULTISECTORIAL,ADMINISTRACIÓN MULTISECTORIAL,"M$308,322",M$0,"M$308,322",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,22-11-2023,SIN RATE,22-11-2023,,,234,08-11-2023,22-11-2023,Juan Pablo Lopez,23-11-2023,,,,,,,,,,,,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.5 FORTALECER LA PREVENCIÓN CAPACIDAD DE REACCIÓN Y PLANES DE MITIGACIÓN FRENTE A RIESGOS Y DESASTRES NATURALES,1.1.5.3 Incorporar la gestión de riesgo de desastres en los gobiernos locales.,,,,232587,248022,480609,,,,,,,,,,,,,
40059029-2023,VIGENTE,2023,2023,40059029,0," ADQUISICION CUATRIMOTOS PARA EL CONTROL DE ÁREAS SILVESTRES PROTEGIDAS
REGIÓN DE ÑUBLE",REVISIÓN,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,VEHÍCULOS Y MAQUINARIAS,29,,,CONAF,SECTORIAL / OTRO,CONAF,REGIONAL,DIT,,REGIONAL,MULTISECTORIAL,ADMINISTRACIÓN MULTISECTORIAL,"M$61,759",M$0,"M$61,759",M$0,M$0,M$0,APROBADO TÉCNICAMENTE,29-12-2023,RS,29-12-2023,,,236,08-11-2023,22-11-2023,Juan Pablo Lopez,23-11-2023,,,,,580,29-12-2023,,,,,RS,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.2.5 PROTECCIÓN RECUPERACIÓN Y DESARROLLO SUSTENTABLE DE PAISAJES Y BIODIVERSIDAD,1.2.5.1 Promover la protección de áreas de importancia para la conservación de la biodiversidad a través de un turismo de bajo impacto.,,,,24247,40342,64589,,,,,,,,,,,,,
40059006-2023,VIGENTE,2023,2023,40059006,0," ADQUISICION DRONES PARA LA PROSPECCIÓN, FISCALIZACIÓN Y MONITOREO DE ALERTA TEMPRANA REGIÓN",REVISIÓN,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,VEHÍCULOS Y MAQUINARIAS,29,,,CONAF,SECTORIAL / OTRO,CONAF,REGIONAL,DIT,,REGIONAL,MULTISECTORIAL,ADMINISTRACIÓN MULTISECTORIAL,"M$183,438",M$0,"M$183,438",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,22-11-2023,SIN RATE,22-11-2023,,,233,07-11-2023,22-11-2023,Juan Pablo Lopez,23-11-2023,,,,,,,,,,,,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.5 FORTALECER LA PREVENCIÓN CAPACIDAD DE REACCIÓN Y PLANES DE MITIGACIÓN FRENTE A RIESGOS Y DESASTRES NATURALES,1.1.5.3 Incorporar la gestión de riesgo de desastres en los gobiernos locales.,,,,248022,265649,513671,,,,,,,,,,,,,
40058915-2023,VIGENTE,2023,2023,40058915,0, ADQUISICION EQUIPO PARA REDUCCIÓN DE COMBUSTIBLES ZONAS DE INTERFAZ REGIÓN DE ÑUBLE,REVISIÓN,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,VEHÍCULOS Y MAQUINARIAS,29,,,CONAF,SECTORIAL / OTRO,CONAF,REGIONAL,DIT,,REGIONAL,MULTISECTORIAL,ADMINISTRACIÓN MULTISECTORIAL,"M$297,993",M$0,"M$297,993",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,22-11-2023,SIN RATE,22-11-2023,,,228,03-11-2023,22-11-2023,Juan Pablo Lopez,23-11-2023,,,,,,,,,,,,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.5 FORTALECER LA PREVENCIÓN CAPACIDAD DE REACCIÓN Y PLANES DE MITIGACIÓN FRENTE A RIESGOS Y DESASTRES NATURALES,1.1.5.3 Incorporar la gestión de riesgo de desastres en los gobiernos locales.,,,,265649,248022,513671,,,,,,,,,,,,,
40059096-2023,VIGENTE,2023,2023,40059096,0,"CONSTRUCCION LUMINARIAS EN VARIOS SECTORES RURALES, COMUNA DE NINHUE",REVISIÓN,PROYECTO,ITATA,NINHUE,EJECUCIÓN,FRIL,FRIL - SERVICIOS BÁSICOS Y VIALIDAD URBANA,ENERGÍA,33,,,MUNICIP. NINHUE,MUNICIPIO,MUNICIP. NINHUE,COMUNAL,,,NINHUE,SEGURIDAD PÚBLICA,SEGURIDAD PÚBLICA,"M$91,509",M$0,"M$91,509",M$0,M$0,M$0,INGRESADO A PREINVERSIÓN,23-11-2023,SIN RATE,23-11-2023,,,617,23-11-2023,24-11-2023,,,,,,,,,,,,,,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.1 MEJORAR LA INFRAESTRUCTURA PÚBLICA Y DE CONECTIVIDAD TERRITORIAL REGIONAL,1.1.1.2 Implementar un programa estratégico de pavimentación y mejoramiento de infraestructura pública vial.,,,,470,510,980,,,,,,,,,,,,,
